event_id,user_id,department,tool,feature,event_date,session_duration_mins,actions_taken,month
EVT00001,USR0169,Sales,Viva Insights,Document Collaboration,2025-06-13,29.9,4,2025-06
EVT00002,USR0043,Legal,Power BI,File Sharing,2025-01-29,11.0,5,2025-01
EVT00003,USR0276,Finance,OneDrive,File Sharing,2025-01-07,10.4,2,2025-01
EVT00004,USR0022,HR,Power BI,File Sharing,2025-03-12,25.0,6,2025-03
EVT00005,USR0235,Marketing,OneDrive,Video Conferencing,2025-03-04,21.0,6,2025-03
EVT00006,USR0289,Finance,Microsoft Teams,Project Management,2025-02-27,61.2,1,2025-02
EVT00007,USR0180,Technology,SharePoint,Team Chat,2025-02-05,16.0,17,2025-02
EVT00008,USR0270,HR,Viva Insights,Document Collaboration,2025-01-27,37.6,7,2025-01
EVT00009,USR0198,Sales,Microsoft Teams,Team Chat,2025-06-23,21.7,5,2025-06
EVT00010,USR0223,HR,Microsoft Teams,Video Conferencing,2025-05-20,0.8,6,2025-05
EVT00011,USR0059,Legal,Viva Insights,Document Collaboration,2025-01-23,12.6,3,2025-01
EVT00012,USR0033,Technology,SharePoint,File Sharing,2025-06-01,7.7,6,2025-06
EVT00013,USR0299,Marketing,Microsoft Teams,Team Chat,2025-04-19,19.6,0,2025-04
EVT00014,USR0001,Legal,Microsoft Teams,Team Chat,2025-01-09,14.1,2,2025-01
EVT00015,USR0284,Sales,SharePoint,Analytics Portal,2025-01-08,18.3,3,2025-01
EVT00016,USR0139,Technology,Viva Insights,Project Management,2025-01-24,33.3,11,2025-01
EVT00017,USR0057,Operations,Power BI,Project Management,2025-02-25,30.3,1,2025-02
EVT00018,USR0237,Finance,Viva Insights,Video Conferencing,2025-03-01,22.3,4,2025-03
EVT00019,USR0096,Technology,Microsoft Teams,Document Collaboration,2025-05-10,3.4,1,2025-05
EVT00020,USR0029,Sales,Viva Insights,Project Management,2025-06-04,16.1,1,2025-06
EVT00021,USR0111,HR,SharePoint,Video Conferencing,2025-01-07,14.8,4,2025-01
EVT00022,USR0287,Sales,Power BI,Team Chat,2025-05-24,24.6,4,2025-05
EVT00023,USR0063,Marketing,SharePoint,Analytics Portal,2025-02-20,48.1,3,2025-02
EVT00024,USR0201,Finance,Microsoft Teams,Video Conferencing,2025-06-16,58.6,8,2025-06
EVT00025,USR0094,Operations,SharePoint,Project Management,2025-06-29,50.4,8,2025-06
EVT00026,USR0248,Finance,SharePoint,Project Management,2025-05-20,23.3,4,2025-05
EVT00027,USR0282,Technology,SharePoint,Analytics Portal,2025-04-18,11.1,4,2025-04
EVT00028,USR0022,HR,Microsoft Teams,Team Chat,2025-02-26,2.9,5,2025-02
EVT00029,USR0233,Finance,Microsoft Teams,Project Management,2025-04-25,15.0,9,2025-04
EVT00030,USR0177,Marketing,Viva Insights,Analytics Portal,2025-05-31,55.8,0,2025-05
EVT00031,USR0129,Legal,OneDrive,Team Chat,2025-03-13,21.8,8,2025-03
EVT00032,USR0229,Marketing,SharePoint,Analytics Portal,2025-01-02,30.9,6,2025-01
EVT00033,USR0089,Technology,Microsoft Teams,File Sharing,2025-02-10,29.7,10,2025-02
EVT00034,USR0243,Marketing,Viva Insights,Analytics Portal,2025-06-28,41.3,6,2025-06
EVT00035,USR0033,Technology,OneDrive,Video Conferencing,2025-04-19,31.9,4,2025-04
EVT00036,USR0279,Operations,OneDrive,Analytics Portal,2025-03-29,12.0,10,2025-03
EVT00037,USR0226,Sales,OneDrive,Project Management,2025-03-13,24.9,9,2025-03
EVT00038,USR0210,Sales,Viva Insights,Document Collaboration,2025-02-09,23.7,6,2025-02
EVT00039,USR0269,Finance,OneDrive,Team Chat,2025-02-25,2.8,5,2025-02
EVT00040,USR0205,Technology,SharePoint,Video Conferencing,2025-03-28,21.8,8,2025-03
EVT00041,USR0200,Sales,Viva Insights,File Sharing,2025-01-27,7.4,4,2025-01
EVT00042,USR0088,Marketing,Viva Insights,Team Chat,2025-01-24,33.0,5,2025-01
EVT00043,USR0186,Marketing,Microsoft Teams,Video Conferencing,2025-04-08,50.2,11,2025-04
EVT00044,USR0132,Marketing,Microsoft Teams,Document Collaboration,2025-01-25,31.8,6,2025-01
EVT00045,USR0035,Marketing,Microsoft Teams,Project Management,2025-04-02,34.0,4,2025-04
EVT00046,USR0298,HR,Power BI,Video Conferencing,2025-03-30,19.9,1,2025-03
EVT00047,USR0081,Finance,SharePoint,Analytics Portal,2025-06-04,52.5,19,2025-06
EVT00048,USR0074,Marketing,Viva Insights,Analytics Portal,2025-03-09,30.8,9,2025-03
EVT00049,USR0011,Finance,OneDrive,Video Conferencing,2025-01-12,30.6,6,2025-01
EVT00050,USR0090,HR,Microsoft Teams,Document Collaboration,2025-04-28,32.2,0,2025-04
EVT00051,USR0059,Legal,Power BI,Project Management,2025-05-18,23.0,6,2025-05
EVT00052,USR0207,Legal,Microsoft Teams,Analytics Portal,2025-02-01,2.7,0,2025-02
EVT00053,USR0108,HR,Power BI,Video Conferencing,2025-04-07,14.5,2,2025-04
EVT00054,USR0092,Marketing,Power BI,Video Conferencing,2025-01-21,20.0,0,2025-01
EVT00055,USR0140,Sales,Viva Insights,Analytics Portal,2025-05-22,26.9,7,2025-05
